,Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeResult,AwayResult,scoredhome,scoredaway,concededhome,concededaway,winshome,winsaway
128,27/11/11,Swansea,Aston Villa,0,0,0.5,0.5,8,6,2,11,4.5,2.5
129,03/12/11,Aston Villa,Man United,0,1,0.0,1.0,10,12,7,3,4.0,6.0
130,03/12/11,Blackburn,Swansea,4,2,1.0,0.0,10,6,15,18,2.0,1.0
131,03/12/11,Man City,Norwich,5,1,1.0,0.0,24,8,4,16,7.0,2.0
132,03/12/11,Newcastle,Chelsea,0,3,0.0,1.0,10,12,8,6,5.0,4.5
133,03/12/11,QPR,West Brom,1,1,0.5,0.5,6,7,10,12,3.0,3.0
134,03/12/11,Tottenham,Bolton,3,0,1.0,0.0,15,10,7,15,5.0,2.0
135,03/12/11,Wigan,Arsenal,0,4,0.0,1.0,8,17,15,18,2.0,3.5
136,04/12/11,Everton,Stoke,0,1,0.0,1.0,7,4,9,15,2.5,2.5
137,04/12/11,Wolves,Sunderland,2,1,1.0,0.0,10,6,11,8,3.5,2.0
138,05/12/11,Fulham,Liverpool,1,0,1.0,0.0,12,8,9,7,3.5,4.0
139,10/12/11,Arsenal,Everton,1,0,1.0,0.0,14,8,5,9,6.5,3.0
140,10/12/11,Bolton,Aston Villa,1,2,0.0,1.0,10,8,21,12,1.0,3.5
141,10/12/11,Liverpool,QPR,1,0,1.0,0.0,10,9,6,16,5.5,3.0
142,10/12/11,Man United,Wolves,4,1,1.0,0.0,23,6,11,17,6.5,1.5
143,10/12/11,Norwich,Newcastle,4,2,1.0,0.0,16,11,12,11,5.0,4.5
144,10/12/11,Swansea,Fulham,2,0,1.0,0.0,10,4,2,9,5.5,2.5
145,10/12/11,West Brom,Wigan,1,2,0.0,1.0,7,6,11,14,2.5,2.5
146,11/12/11,Stoke,Tottenham,2,1,1.0,0.0,12,15,9,11,5.0,5.5
147,11/12/11,Sunderland,Blackburn,2,1,1.0,0.0,12,12,10,19,3.5,2.0
148,12/12/11,Chelsea,Man City,2,1,1.0,0.0,21,25,12,11,6.0,6.0
149,17/12/11,Blackburn,West Brom,1,2,0.0,1.0,11,9,17,13,2.0,4.0
150,17/12/11,Everton,Norwich,1,1,0.5,0.5,8,9,10,17,3.0,2.5
151,17/12/11,Fulham,Bolton,2,0,1.0,0.0,14,10,9,17,4.5,2.0
152,17/12/11,Newcastle,Swansea,0,0,0.5,0.5,10,6,8,18,5.5,1.5
153,17/12/11,Wigan,Chelsea,1,1,0.5,0.5,9,13,16,7,2.5,5.0
154,17/12/11,Wolves,Stoke,1,2,0.0,1.0,11,6,13,16,3.5,3.5
155,18/12/11,Aston Villa,Liverpool,0,2,0.0,1.0,10,10,9,7,4.0,5.0
156,18/12/11,Man City,Arsenal,1,0,1.0,0.0,25,17,4,19,8.0,3.5
157,18/12/11,QPR,Man United,0,2,0.0,1.0,6,14,12,3,3.0,7.0
158,18/12/11,Tottenham,Sunderland,1,0,1.0,0.0,16,6,7,9,6.0,2.0
159,20/12/11,Blackburn,Bolton,1,2,0.0,1.0,12,12,19,18,2.0,3.0
160,20/12/11,Wolves,Norwich,2,2,0.5,0.5,13,11,15,19,4.0,3.0
161,21/12/11,Aston Villa,Arsenal,1,2,0.0,1.0,11,19,11,20,4.0,4.5
162,21/12/11,Everton,Swansea,1,0,1.0,0.0,9,6,10,19,4.0,1.5
163,21/12/11,Fulham,Man United,0,5,0.0,1.0,14,19,14,3,4.5,8.0
164,21/12/11,Man City,Stoke,3,0,1.0,0.0,28,6,4,19,9.0,3.5
165,21/12/11,Newcastle,West Brom,2,3,0.0,1.0,12,12,11,15,5.5,5.0
166,21/12/11,QPR,Sunderland,2,3,0.0,1.0,8,9,15,11,3.0,3.0
167,21/12/11,Wigan,Liverpool,0,0,0.5,0.5,9,10,16,7,3.0,5.5
168,22/12/11,Tottenham,Chelsea,1,1,0.5,0.5,17,14,8,8,6.5,5.5
169,26/12/11,Bolton,Newcastle,0,2,0.0,1.0,10,13,23,11,1.0,5.5
